,Unnamed: 0,individual_id,taxon_canonical_name,study_id,timestamp,latitude,longitude,sex,common_name,wiki_url
218396,218396,36122532,Passerculus sandwichensis,36121409,2010-10-05 22:56:00.000,44.58333333,-66.75,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218397,218397,36122532,Passerculus sandwichensis,36121409,2010-10-05 23:30:00.000,44.60895784,-66.98222501,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218398,218398,36122532,Passerculus sandwichensis,36121409,2010-10-06 00:04:00.000,44.644192,-67.190469,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218399,218399,36122532,Passerculus sandwichensis,36121409,2010-10-06 00:37:00.000,44.54685343,-67.56030523,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218400,218400,36122532,Passerculus sandwichensis,36121409,2010-10-06 01:10:00.000,44.474267,-67.95402800000001,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218401,218401,36122535,Passerculus sandwichensis,36121409,2010-10-03 22:42:00.000,44.58333333,-66.75,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218402,218402,36122535,Passerculus sandwichensis,36121409,2010-10-03 23:10:00.000,44.60895784,-66.98222501,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218403,218403,36122535,Passerculus sandwichensis,36121409,2010-10-03 23:38:00.000,44.644192,-67.190469,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218404,218404,36122535,Passerculus sandwichensis,36121409,2010-10-03 23:58:00.000,44.54685343,-67.56030523,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218405,218405,36122535,Passerculus sandwichensis,36121409,2010-10-04 00:18:00.000,44.474267,-67.95402800000001,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218406,218406,36122538,Passerculus sandwichensis,36121409,2010-10-05 22:52:00.000,44.58333333,-66.75,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218407,218407,36122538,Passerculus sandwichensis,36121409,2010-10-05 23:31:00.000,44.60895784,-66.98222501,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218408,218408,36122538,Passerculus sandwichensis,36121409,2010-10-06 00:11:00.000,44.644192,-67.190469,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218409,218409,36122541,Passerculus sandwichensis,36121409,2010-09-26 23:54:00.000,44.58333333,-66.75,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218410,218410,36122541,Passerculus sandwichensis,36121409,2010-09-27 00:17:00.000,44.60895784,-66.98222501,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218411,218411,36122541,Passerculus sandwichensis,36121409,2010-09-27 00:41:00.000,44.644192,-67.190469,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218412,218412,36122544,Passerculus sandwichensis,36121409,2010-10-03 22:41:00.000,44.58333333,-66.75,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218413,218413,36122544,Passerculus sandwichensis,36121409,2010-10-03 23:11:00.000,44.60895784,-66.98222501,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218414,218414,36122544,Passerculus sandwichensis,36121409,2010-10-03 23:41:00.000,44.644192,-67.190469,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218415,218415,36122544,Passerculus sandwichensis,36121409,2010-10-04 00:17:00.000,44.54685343,-67.56030523,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218416,218416,36122544,Passerculus sandwichensis,36121409,2010-10-04 00:54:00.000,44.474267,-67.95402800000001,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218417,218417,36122547,Passerculus sandwichensis,36121409,2010-10-03 22:53:00.000,44.58333333,-66.75,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218418,218418,36122547,Passerculus sandwichensis,36121409,2010-10-03 23:21:00.000,44.60895784,-66.98222501,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218419,218419,36122547,Passerculus sandwichensis,36121409,2010-10-03 23:49:00.000,44.644192,-67.190469,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218420,218420,36122547,Passerculus sandwichensis,36121409,2010-10-04 00:09:00.000,44.51092736,-67.5393239,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218421,218421,36122547,Passerculus sandwichensis,36121409,2010-10-04 00:29:00.000,44.417071,-67.911129,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218422,218422,36122550,Passerculus sandwichensis,36121409,2010-09-11 23:22:00.000,44.58333333,-66.75,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218423,218423,36122550,Passerculus sandwichensis,36121409,2010-09-11 23:45:00.000,44.58923877,-67.01018252,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218424,218424,36122550,Passerculus sandwichensis,36121409,2010-09-12 00:09:00.000,44.609229,-67.264526,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218425,218425,36122550,Passerculus sandwichensis,36121409,2010-09-12 00:28:00.000,44.49265131,-67.57558788,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218426,218426,36122550,Passerculus sandwichensis,36121409,2010-09-12 00:47:00.000,44.417071,-67.911129,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218427,218427,36122553,Passerculus sandwichensis,36121409,2010-10-03 22:45:00.000,44.58333333,-66.75,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218428,218428,36122553,Passerculus sandwichensis,36121409,2010-10-03 23:14:00.000,44.60895784,-66.98222501,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218429,218429,36122553,Passerculus sandwichensis,36121409,2010-10-03 23:43:00.000,44.644192,-67.190469,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
